k_code,r_over_minus8nt
3.7155711063e+01,9.9996388246e-01
3.8002950823e+01,9.9995359880e-01
3.8869509692e+01,9.9994057636e-01
3.9755828191e+01,9.9992414085e-01
4.0662356889e+01,9.9990346715e-01
4.1589556625e+01,9.9987754961e-01
4.2537898750e+01,9.9984516733e-01
4.3507865361e+01,9.9980484405e-01
4.4499949549e+01,9.9975480197e-01
4.5514655647e+01,9.9969290893e-01
4.6552499490e+01,9.9961661832e-01
4.7614008673e+01,9.9952290138e-01
4.8699722824e+01,9.9940817130e-01
4.9810193875e+01,9.9926819882e-01
5.0945986341e+01,9.9909801927e-01
5.2107677614e+01,9.9889183114e-01
5.3295858247e+01,9.9864288637e-01
5.4511132262e+01,9.9834337328e-01
5.5754117454e+01,9.9798429323e-01
5.7025445703e+01,9.9755533268e-01
5.8325763301e+01,9.9704473287e-01
5.9655731274e+01,9.9643916036e-01
6.1016025722e+01,9.9572358198e-01
6.2407338162e+01,9.9488114896e-01
6.3830375878e+01,9.9389309595e-01
6.5285862285e+01,9.9273866134e-01
6.6774537289e+01,9.9139503650e-01
6.8297157671e+01,9.8983735237e-01
6.9854497467e+01,9.8803871251e-01
7.1447348364e+01,9.8597028228e-01
7.3076520100e+01,9.8360144402e-01
7.4742840879e+01,9.8090002765e-01
7.6447157787e+01,9.7783262545e-01
7.8190337228e+01,9.7436499799e-01
7.9973265361e+01,9.7046257576e-01
8.1796848553e+01,9.6609105802e-01
8.3662013837e+01,9.6121710562e-01
8.5569709384e+01,9.5580912019e-01
8.7520904988e+01,9.4983809576e-01
8.9516592554e+01,9.4327852300e-01
9.1557786606e+01,9.3610932013e-01
9.3645524802e+01,9.2831475855e-01
9.5780868460e+01,9.1988534688e-01
9.7964903101e+01,9.1081863355e-01
1.0019873899e+02,9.0111988760e-01
1.0248351173e+02,8.9080261847e-01
1.0482038279e+02,8.7988890043e-01
1.0721054014e+02,8.6840947427e-01
1.0965519884e+02,8.5640360903e-01
1.1215560166e+02,8.4391871786e-01
1.1471301968e+02,8.3100973544e-01
1.1732875299e+02,8.1773827674e-01
1.2000413133e+02,8.0417160940e-01
1.2274051475e+02,7.9038148105e-01
1.2553929430e+02,7.7644285069e-01
1.2840189277e+02,7.6243257605e-01
1.3132976538e+02,7.4842810954e-01
1.3432440054e+02,7.3450625157e-01
1.3738732061e+02,7.2074200413e-01
1.4052008263e+02,7.0720755895e-01
1.4372427918e+02,6.9397144515e-01
1.4700153913e+02,6.8109785092e-01
1.5035352851e+02,6.6864612439e-01
1.5378195132e+02,6.5667044973e-01
1.5728855044e+02,6.4521968775e-01
1.6087510847e+02,6.3433736423e-01
1.6454344866e+02,6.2406178571e-01
1.6829543586e+02,6.1442626030e-01
1.7213297740e+02,6.0545940019e-01
1.7605802414e+02,5.9718548340e-01
1.8007257140e+02,5.8962485355e-01
1.8417866002e+02,5.8279433846e-01
1.8837837735e+02,5.7670767089e-01
1.9267385836e+02,5.7137589723e-01
1.9706728669e+02,5.6680776233e-01
2.0156089577e+02,5.6301006112e-01
2.0615696997e+02,5.5998794957e-01
2.1085784574e+02,5.5774520940e-01
2.1566591281e+02,5.5628446235e-01
2.2058361539e+02,5.5560733124e-01
2.2561345345e+02,5.5571454557e-01
2.3075798393e+02,5.5660599081e-01
2.3601982211e+02,5.5828070053e-01
2.4140164288e+02,5.6073679172e-01
2.4690618214e+02,5.6397134381e-01
2.5253623815e+02,5.6798022291e-01
2.5829467301e+02,5.7275785336e-01
2.6418441407e+02,5.7829693991e-01
2.7020845541e+02,5.8458814505e-01
2.7636985942e+02,5.9161972748e-01
2.8267175829e+02,5.9937714970e-01
2.8911735564e+02,6.0784266483e-01
