k_code,P_t
1.7213297740e+02,3.7220776668e-15
1.7605802414e+02,3.7220776246e-15
1.8007257140e+02,3.7220775835e-15
1.8417866002e+02,3.7220775435e-15
1.8837837735e+02,3.7220775043e-15
1.9267385836e+02,3.7220774660e-15
1.9706728669e+02,3.7220774286e-15
2.0156089577e+02,3.7220773919e-15
2.0615696997e+02,3.7220773560e-15
2.1085784574e+02,3.7220773208e-15
2.1566591281e+02,3.7220772862e-15
2.2058361539e+02,3.7220772522e-15
2.2561345345e+02,3.7220772188e-15
2.3075798393e+02,3.7220771860e-15
2.3601982211e+02,3.7220771537e-15
2.4140164288e+02,3.7220771218e-15
2.4690618214e+02,3.7220770904e-15
2.5253623815e+02,3.7220770595e-15
2.5829467301e+02,3.7220770289e-15
2.6418441407e+02,3.7220769987e-15
2.7020845541e+02,3.7220769689e-15
2.7636985942e+02,3.7220769395e-15
2.8267175829e+02,3.7220769103e-15
2.8911735564e+02,3.7220768815e-15
